fire_year,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,owner_code,state,burn_time_hours,discovery_hour,discovery_month
2013,Miscellaneous,0.1,A,39.8666,-104.7754,14,CO,0.5,21,Jun
1998,Smoking,2,B,44.845,-107.3466667,5,WY,10,8,May
2015,Lightning,7490,G,47.88055556,-120.2211111,5,WA,2094.266667,5,Aug
2012,Equipment Use,45,C,29.2141,-82.5281,8,FL,1.1,12,Sep
1992,Campfire,0.1,A,39.01666667,-120.5,5,CA,3,15,Oct
2001,Lightning,0.1,A,44.95888889,-116.1391667,5,ID,1.5,14,Sep
2006,Lightning,0.1,A,33.91111111,-111.4083333,5,AZ,16.63333333,19,Jun
1997,Smoking,0.1,A,46.4321,-116.9029,2,ID,1,9,Aug
2013,Arson,2.32,B,41.1127,-74.126,14,NY,0.683333333,11,Apr
1997,Arson,2,B,31.4929712,-90.81892169,14,MS,1.05,19,Oct
1997,Railroad,0.5,B,34.64333333,-94.515,13,OK,3.5,15,May
2015,Miscellaneous,0.5,B,43.01651,-91.1302,8,WI,0.783333333,13,Nov
1993,Arson,0.1,A,33.7274,-85.2267,8,GA,0.55,12,Aug
2001,Smoking,0.1,A,38.325,-79.96666667,13,WV,0.416666667,15,Oct
2003,Lightning,0.1,A,38.90055556,-120.2344444,5,CA,1.566666667,8,Aug
2014,Lightning,0.5,B,40.277594,-112.577091,1,UT,15.83333333,15,Jul
2000,Debris Burning,1.5,B,48.2364,-109.826,2,MT,2,17,Apr
1993,Arson,22.5,C,33.5216,-84.8755,8,GA,12,8,Jul
2002,Equipment Use,0.1,A,34.60305556,-118.3033333,14,CA,0.75,13,Jan
2006,Campfire,2,B,45.71777778,-114.0247222,5,MT,44.5,21,Sep
2009,Miscellaneous,0.1,A,46.04611111,-121.6055556,5,WA,0.833333333,13,Jul
2014,Equipment Use,1,B,35.41669,-93.99259,8,AR,1.916666667,14,Feb
1995,Missing/Undefined,12,C,34.13709985,-95.07779683,14,OK,3.75,13,Nov
2013,Miscellaneous,0.1,A,44.6282,-74.7756,14,NY,1.3,20,May
1992,Debris Burning,0.1,A,45.9694,-89.8957,2,WI,0.333333333,16,May
2015,Campfire,1,B,30.1972,-85.8255,8,FL,0.866666667,12,Aug
1999,Miscellaneous,0.1,A,40.4498,-108.52316,3,CO,3.2,12,Jun
2000,Miscellaneous,0.1,A,47.86008,-123.93325,3,WA,0.25,18,Jul
2013,Campfire,109,D,37.34434891,-83.85022736,8,KY,47.91666667,16,Nov
2005,Miscellaneous,0.1,A,43.03314552,-76.04507488,14,NY,0,9,Nov
2006,Miscellaneous,0.5,B,37.698389,-120.431636,8,CA,2.55,17,May
2013,Miscellaneous,0.1,A,38.035167,-120.352167,14,CA,1.383333333,8,Nov
2011,Lightning,0.5,B,34.85638889,-119.0833333,5,CA,16.58333333,20,Sep
2003,Debris Burning,1.25,B,44.03008302,-75.94208452,14,NY,0,14,Apr
2002,Lightning,0.1,A,45.12777778,-118.0541667,5,OR,18.11666667,17,Sep
2004,Miscellaneous,1,B,43.52694444,-85.69361111,13,MI,1.783333333,13,Aug
2012,Equipment Use,13.8,C,37.69416667,-91.20444444,13,MO,6.883333333,11,Jul
2010,Miscellaneous,2,B,40.011366,-122.406599,13,CA,0.466666667,10,Jun
1995,Arson,135,D,34.85479366,-88.44970035,14,MS,3.866666667,11,Feb
2012,Arson,1000,F,48.75867755,-96.46746624,8,MN,2.75,4,Apr
2014,Campfire,2.6,B,43.21064,-102.46603,2,SD,33.73333333,1,Apr
2003,Children,1,B,48.87138889,-115.0705556,13,MT,2.583333333,15,Jun
1993,Lightning,0.1,A,37.74166667,-108.9716667,5,CO,8,12,Sep
2003,Smoking,58,C,32.132425,-86.262135,14,AL,1.833333333,19,Jan
2012,Equipment Use,7,B,35.27336667,-79.39705,8,NC,1.166666667,15,Jun
2007,Equipment Use,68,C,33.958742,-116.653853,1,CA,11.66666667,6,Sep
2007,Arson,2,B,35.3929,-84.4188,8,TN,6.25,10,Oct
2002,Children,0.39,B,32.5268,-82.9049,14,GA,0,17,Mar
2007,Lightning,0.3,B,35.80907,-109.2221,2,AZ,4.4,10,Aug
2001,Lightning,30,C,33.83583333,-109.4011111,5,AZ,49,14,May
2001,Lightning,0.1,A,37.1167,-108.4506,2,CO,2,18,Jun
2013,Debris Burning,17.8,C,35.21215,-85.965333,14,TN,2.433333333,19,Apr
1995,Lightning,0.1,A,39.825,-123.0333333,13,CA,10.5,6,Jul
2015,Miscellaneous,0.5,B,36.17281,-105.70175,2,NM,19.81666667,18,Apr
2004,Lightning,0.1,A,47.03833333,-114.7772222,5,MT,5.75,7,Jul
2013,Arson,10,C,34.58915,-79.1293,8,NC,4.75,15,Nov
2011,Campfire,0.1,A,48.89666667,-115.1255556,5,MT,1.2,14,Jun
2015,Miscellaneous,0.01,A,38.43,-94.84,14,KS,1.15,14,Jan
1995,Debris Burning,0.98,B,33.178,-82.3374,8,GA,1.5,2,Apr
2009,Children,0.1,A,33.36233,-110.46078,2,AZ,0.95,13,Jun
2009,Miscellaneous,2,B,34.734671,-87.520687,14,AL,0.716666667,15,Apr
1997,Miscellaneous,125,D,35.5728,-98.3378,8,OK,4.333333333,14,Feb
2006,Equipment Use,8,B,42.99175,-115.58021,1,ID,6.183333333,8,Jun
2000,Arson,0.5,B,47.9917,-99.0087,2,ND,0.25,13,Apr
2013,Miscellaneous,0.1,A,35.86161667,-81.28033333,8,NC,0.216666667,16,Mar
2005,Lightning,1,B,36.125,-105.5283333,5,NM,0.333333333,21,Jul
2003,Lightning,0.1,A,44.47336,-110.75373,3,WY,3.466666667,14,Aug
2008,Miscellaneous,1.1,B,42.65279471,-78.93934796,14,NY,0,17,Apr
2005,Debris Burning,400,E,34.7757,-95.6091,8,OK,10,16,Sep
2000,Lightning,81,C,33.8667,-107.2017,1,NM,26.91666667,15,Jun
2014,Arson,3,B,34.68071,-80.519493,7,SC,2.116666667,11,Apr
2000,Arson,0.15,A,31.8923,-82.0552,8,GA,0,17,Jun
1993,Lightning,0.2,A,38.60166667,-119.2883333,5,CA,18.5,19,Sep
2015,Missing/Undefined,0.1,A,39.181892,-120.223166,14,CA,1.383333333,13,Jul
1999,Equipment Use,0.1,A,29.01833333,-81.475,13,FL,13.91666667,20,Feb
2015,Debris Burning,1.9,B,32.19811111,-84.093875,8,GA,0.75,14,Jan
2002,Lightning,108,D,44.44666667,-115.8047222,5,ID,186.9166667,0,Jul
2013,Lightning,0.2,A,40.60175,-108.9289,3,CO,28.56666667,13,Jun
2006,Railroad,54.5,C,45.71944444,-117.8041667,6,OR,52,15,May
2011,Equipment Use,2042,F,37.84472222,-103.7372222,5,CO,67.75,16,Feb
2003,Debris Burning,0.6,B,35.724747,-83.660301,3,TN,7302.5,15,Feb
2014,Lightning,0.1,A,41.92527778,-120.8497222,5,CA,3.383333333,17,Jul
2010,Lightning,4,B,40.3,-111.94,1,UT,29.8,12,Aug
2012,Campfire,0.1,A,35.16833333,-108.2172222,5,NM,0.2,17,Jul
1998,Arson,15,C,30.82775066,-89.59294249,14,MS,1.066666667,13,Feb
1994,Debris Burning,1.28,B,30.8304,-84.8318,8,GA,1.666666667,18,Apr
2006,Children,1,B,43.0303,-102.5514,2,SD,0.4,15,Jan
2008,Debris Burning,1,B,37.40864,-83.67011,14,KY,0,14,Mar
1999,Miscellaneous,0.5,B,48.5666,-113.0343,2,MT,0.166666667,14,Apr
2007,Lightning,0.1,A,35.2194,-115.35,3,CA,2.5,12,Sep
2012,Lightning,1.5,B,33.52761,-109.57153,2,AZ,98.26666667,14,May
1992,Arson,2,B,36.81666667,-92.07166667,5,MO,1.75,12,Feb
2015,Miscellaneous,20,C,38.59,-95.01,14,KS,1.033333333,14,Mar
2000,Arson,15,C,39.295669,-120.862469,8,CA,2.9,6,Apr
1999,Equipment Use,0.2,A,40.482569,-122.567131,8,CA,0.333333333,9,Aug
2013,Missing/Undefined,4,B,39.592414,-121.446299,14,CA,2.066666667,17,Jun
1994,Lightning,0.1,A,34.53,-111.295,5,AZ,2.25,11,Jul
1993,Lightning,0.1,A,39.32333333,-120.5033333,5,CA,5,14,Oct
2004,Lightning,0.1,A,39.1102,-119.5332,1,NV,3.916666667,16,Aug
2013,Debris Burning,0.25,A,40.75306,-75.75778,14,PA,0.583333333,13,Apr
2006,Arson,1.75,B,43.05879886,-76.86602668,14,NY,0,14,Apr
1994,Arson,3.4,B,34.653,-85.0925,8,GA,2.5,15,Nov
2005,Arson,8,B,33.647078,-85.423122,14,AL,1.233333333,14,Mar
2008,Lightning,0.1,A,48.92611111,-118.2669444,5,WA,4.433333333,16,Aug
2003,Arson,1,B,47.9853,-98.8721,2,ND,0.5,16,Oct
2010,Arson,0.1,A,35.32046666,-83.52915,7,NC,0.916666667,21,Mar
2002,Miscellaneous,0.1,A,38.8789,-108.7634,1,CO,0.716666667,14,May
1999,Miscellaneous,0.1,A,35.89928385,-119.294765,6,CA,0,21,Jun
1999,Miscellaneous,3,B,33.53081671,-88.61335787,14,MS,1.9,14,Oct
2011,Miscellaneous,0.6,B,31.52444444,-92.5,5,LA,1,14,Oct
2003,Lightning,0.1,A,44.22055556,-118.4988889,5,OR,4,8,Jul
2004,Children,0.1,A,32.58515,-86.204767,14,AL,0.383333333,12,Jan
2011,Smoking,0.1,A,43.0142,-108.9414,2,WY,0.583333333,8,Aug
2005,Lightning,0.1,A,35.29666667,-111.5261111,5,AZ,2,14,Sep
2004,Lightning,0.1,A,39.2841,-111.9649,1,UT,220.7333333,15,Jul
2007,Arson,90,C,30.786031,-87.860615,14,AL,4.5,14,Feb
1994,Equipment Use,1.26,B,33.3671,-84.1373,8,GA,1,16,Jan
2012,Smoking,0.1,A,43.1126,-77.6055,14,NY,0.216666667,10,Aug
2003,Miscellaneous,1,B,42.73659552,-77.8411675,14,NY,0,0,Apr
1995,Debris Burning,0.5,B,41.0999,-123.7178,2,CA,1,13,Jul
1993,Debris Burning,8.36,B,33.1268,-83.0723,8,GA,3.416666667,17,Dec
2011,Missing/Undefined,0.1,A,46.40283,-87.83355,8,MI,1,15,Aug
2011,Arson,2,B,34.794437,-80.039787,8,SC,0.366666667,10,Apr
2011,Lightning,4.3,B,33.23557502,-83.75190687,8,GA,0.983333333,20,Jul
2000,Miscellaneous,5,B,39.8021,-104.7921,4,CO,2.45,21,Jul
2015,Lightning,0.5,B,35.16575,-108.74989,2,NM,40,20,Aug
2015,Miscellaneous,2,B,35.661393,-120.414048,14,CA,0.35,14,Mar
2012,Debris Burning,2,B,32.67026667,-94.86755,14,TX,2.566666667,9,Aug
2009,Campfire,0.1,A,47.94391,-118.19534,2,WA,8.5,9,Aug
2007,Lightning,0.1,A,48.09138889,-115.6636111,5,MT,22.46666667,12,Sep
2008,Equipment Use,0.2,A,46.18166667,-118.9758333,8,WA,0.25,17,Aug
2003,Miscellaneous,1.7,B,42.32566834,-73.9970148,14,NY,0,12,Apr
2011,Lightning,920,E,34.1092,-104.7561,8,NM,40.25,19,Jun
2011,Miscellaneous,0.1,A,40.58905144,-73.92829601,14,NY,0.716666667,16,Jul
2011,Debris Burning,0.4,B,33.7992897,-83.15676603,8,GA,2.15,11,Sep
2002,Smoking,0.1,A,35.5458,-113.4685,2,AZ,0.5,16,May
2008,Children,0.1,A,42.923361,-78.74778795,14,NY,0,14,Jul
1993,Miscellaneous,0.7,B,31.9784,-83.3102,8,GA,1.25,14,Jun
2007,Debris Burning,22,C,36.6225,-96.0222,8,OK,2.5,16,Mar
1994,Arson,0.1,A,34.38333333,-81.66666667,5,SC,1.5,3,May
1995,Arson,0.01,A,32.5096,-82.6615,14,GA,0.35,18,Jan
2000,Arson,0.1,A,32.2351,-81.852,7,GA,0,14,Feb
2015,Debris Burning,4,B,39.42,-97.05,14,KS,3.4,14,Nov
2001,Lightning,4,B,37.0094,-107.8953,2,CO,76,14,Sep
2011,Lightning,15,C,32.443527,-80.990562,8,SC,2.216666667,16,Jul
1992,Miscellaneous,0.5,B,34.0833,-118.7009,8,CA,1.25,14,Nov
2003,Fireworks,0.1,A,48.5711,-113.029,2,MT,12.63333333,10,Jul
1999,Lightning,0.1,A,44.60638889,-117.9875,5,OR,2.75,15,Aug
2014,Miscellaneous,0.25,A,34.65027778,-111.0891667,5,AZ,14,20,Nov
2000,Children,1,B,43.3011,-100.6518,2,SD,2.5,14,Aug
2005,Miscellaneous,0.1,A,38.915875,-121.040992,10,CA,0.183333333,3,Jun
1995,Children,5,B,47.8666,-94.9003,2,MN,0.75,16,Jun
2013,Arson,70,C,34.84031667,-79.08738333,14,NC,3.883333333,12,Apr
2011,Missing/Undefined,0.2,A,35.70745,-79.4526,14,NC,0.55,16,Feb
2004,Fireworks,5,B,44.095,-99.6987,2,SD,1.416666667,0,Jul
1999,Lightning,0.1,A,33.71666667,-107.4852778,5,NM,5.5,12,May
2011,Lightning,5.6,B,46.3917,-105.2117,1,MT,26.46666667,10,Aug
2011,Miscellaneous,0.1,A,36.30916667,-102.5513889,14,TX,11.08333333,10,May
2013,Debris Burning,0.1,A,30.0379,-82.2235,8,FL,0.666666667,15,May
2003,Miscellaneous,0.1,A,40.691586,-73.79318,14,NY,0,16,Mar
2012,Miscellaneous,0.1,A,43.988,-75.827,14,NY,5.433333333,13,Jul
2003,Lightning,0.1,A,40.18388889,-120.6016667,5,CA,8.416666667,12,Aug
2015,Lightning,1,B,41.6254,-73.7743,8,NY,0.516666667,11,Apr
1997,Arson,1.5,B,30.375,-82.33666667,5,FL,2.5,20,Mar
2011,Lightning,2,B,33.17630111,-94.61010495,13,TX,1.8,17,Aug
2012,Miscellaneous,1,B,33.68527778,-95.05194444,14,TX,0.733333333,14,Dec
2003,Arson,0.1,A,40.9375,-80.19888889,14,PA,0,13,Apr
1996,Arson,15,C,34.2115548,-89.7018162,14,MS,1.833333333,13,Apr
2012,Lightning,2,B,36.3847,-113.5828,1,AZ,21.05,17,Aug
2012,Debris Burning,4,B,35.95839,-93.25685,8,AR,2.416666667,18,Feb
1995,Debris Burning,5,B,33.55254237,-89.59181313,14,MS,1.833333333,15,Jun
2011,Children,0.5,B,41.31804276,-96.11938477,14,NE,0.366666667,20,Apr
1994,Arson,1.02,B,34.7901,-85.198,14,GA,2.166666667,1,Mar
1995,Debris Burning,3.39,B,34.2588,-85.3986,8,GA,2,17,Mar
2013,Missing/Undefined,0.38,B,37.951583,-120.42135,14,CA,0.433333333,22,Aug
2004,Arson,0.1,A,39.895131,-121.664311,8,CA,0.283333333,3,May
1997,Debris Burning,2.18,B,32.7503,-85.0926,8,GA,1.666666667,13,Sep
2000,Lightning,0.1,A,33.31666667,-81.63333333,5,SC,13,22,May
1993,Campfire,0.5,B,36.65166667,-112.2066667,5,AZ,0.916666667,13,Jul
2000,Debris Burning,2.5,B,48.2542,-109.7966,2,MT,2,18,Apr
2003,Miscellaneous,78,C,38.736181,-120.956831,8,CA,2.916666667,13,Aug
1992,Equipment Use,0.1,A,40.86,-122.3466667,13,CA,0.3,14,Jul
2012,Missing/Undefined,0.1,A,41.709,-107.806,8,WY,2.466666667,9,Sep
2003,Lightning,0.1,A,39.6982,-119.6182,1,NV,2.266666667,14,Jul
2015,Miscellaneous,1.2,B,41.789574,-71.496181,8,RI,0.8,14,Sep
1992,Equipment Use,0.1,A,32.7153,-82.7233,8,GA,0.333333333,16,May
2012,Campfire,5220,G,33.89722222,-111.1466667,5,AZ,383.6166667,18,Aug
2006,Arson,0.5,B,48.8858,-99.7003,2,ND,0.833333333,11,Apr
1997,Smoking,0.1,A,39.3098778,-78.00535319,8,WV,0,12,Apr
1992,Lightning,0.1,A,43.5165,-120.9178,1,OR,6.033333333,11,Jun
2004,Lightning,0.1,A,39.7494,-108.7582,1,CO,13.16666667,16,Jul
2007,Debris Burning,1,B,36.293333,-88.87,8,TN,6.55,11,May
